"race","strategy","tier","skill","source_file","status","memo"
"東京 芝 1800m","逃げ","recommended","府中の申し子","recommended\スクリーンショット 2026-08-25 020428.png","draft",""
"東京 芝 1800m","逃げ","recommended","良バ場の鬼","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","弧線のプロフェッサー","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","コーナー巧者○","recommended\スクリーンショット 2026-08-25 020428.png","draft",""
"東京 芝 1800m","逃げ","recommended","ハヤテ一文字","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","直線巧者","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","コンセントレーション","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","ポジションセンス","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","全身全霊","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","末脚","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","脱出術","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","急ぎ足","recommended\スクリーンショット 2026-08-25 020428.png","ready",""
"東京 芝 1800m","逃げ","recommended","逃亡者","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","押し切り準備","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","マイルの支配者","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","積極策","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","逃げためらい","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","先行ためらい","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","差しためらい","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","追込ためらい","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","ギアチェンジ","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","ギアシフト","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","姉御肌","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","負けん気","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","スピードイーター","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","危険回避","recommended\スクリーンショット 2026-08-25 020438.png","ready",""
"東京 芝 1800m","逃げ","recommended","トップランナー","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","先頭プライド","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","スリップストリーム","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","いいとこ入った！","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","遊びはおしまいっ！","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","お先に失礼っ！","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","至高のダウンヒラー","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","下り坂巧者","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","出力1000万%！！","recommended\スクリーンショット 2026-08-25 020447.png","draft",""
"東京 芝 1800m","逃げ","recommended","しゃかりき","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","遮二無二","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","向こう見ず","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","優位形成","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","しとやかな足取り","recommended\スクリーンショット 2026-08-25 020447.png","ready",""
"東京 芝 1800m","逃げ","recommended","神速","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","快速","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","雲蒸竜変","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","自信家","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","ネバーギブアップ","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","十全十美","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","品行方正","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","機先の勝負","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","序盤巧者","recommended\スクリーンショット 2026-08-25 020455.png","ready","manual_fix:厚底巧者->序盤巧者"
"東京 芝 1800m","逃げ","recommended","正攻法","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","素直な一歩","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","トキメキハート","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","胸の高鳴り","recommended\スクリーンショット 2026-08-25 020455.png","ready",""
"東京 芝 1800m","逃げ","recommended","豪胆無比","recommended\スクリーンショット 2026-08-25 020455.png","ready","manual_fix:索敵無比->豪胆無比"
"東京 芝 1800m","逃げ","recommended","後方釘付","recommended\スクリーンショット 2026-08-25 020501.png","draft",""
"東京 芝 1800m","逃げ","recommended","早業","recommended\スクリーンショット 2026-08-25 020501.png","ready",""
"東京 芝 1800m","逃げ","recommended","切り込み隊長","recommended\スクリーンショット 2026-08-25 020501.png","ready",""
"東京 芝 1800m","逃げ","recommended","俊出","recommended\スクリーンショット 2026-08-25 020501.png","ready","manual_fix:鍔競り合い->俊出"
"東京 芝 1800m","逃げ","recommended","抜きん出る一歩","recommended\スクリーンショット 2026-08-25 020501.png","ready",""
"東京 芝 1800m","逃げ","recommended","猛烈激走","recommended\スクリーンショット 2026-08-25 020501.png","ready","manual_fix:疑心暗鬼->猛烈激走"
"東京 芝 1800m","逃げ","recommended","みなぎる闘志","recommended\スクリーンショット 2026-08-25 020501.png","ready",""
