race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,追込,super_recommended,左回り◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,春ウマ娘◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離直線◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離コーナー◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込直線◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込コーナー◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,尻尾上がり,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,起死回生,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,君臨,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,垣間見た光,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,星の煌めき,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,追込直線○,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,追込コーナー○,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,尻尾の滝登り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,ワンチャンス,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,渾身の足取り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,もう一踏ん張り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,府中◎の申し子,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,孤線のプロフェッサー,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,ハヤテ一文字,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,ノンストップガール,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,全身全霊,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,疾風怒濤,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,道悪の鬼,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,コーナー巧者〇,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,直線巧者,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,垂れウマ回避,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,末脚,スクリーンショット 2026-06-14 010641.png,draft,
