race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,先行,super_recommended,左回り◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,左回り○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,春ウマ娘◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,春ウマ娘○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,中距離直線◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,中距離直線○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,中距離コーナー◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,中距離コーナー○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,先行直線◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,先行直線○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,先行コーナー◎,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,先行コーナー○,スクリーンショット 2026-06-14 010044.png,draft,
東京 芝 2400m,先行,super_recommended,尻尾上がり,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,尻尾の滝登り,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,鍔迫り合い,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,真っ向勝負,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,recommended,シンギュラリティ,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,recommended,探求心,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,王手,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,会心の一歩,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,王道一途,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,正面突破,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,夢の舞台へ,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,憧れを越えて,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,もう一踏ん張り,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,super_recommended,星の輝き,スクリーンショット 2026-06-14 010050.png,draft,
東京 芝 2400m,先行,recommended,府中◎の申し子,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,弧線のプロフェッサー,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,ハヤテ一文字,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,ノンストップガール,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,全身全霊,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,キラーチューン,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,道悪の鬼,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,コーナー巧者〇,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,直線巧者,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,垂れウマ回避,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,末脚,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,recommended,テンポアップ,スクリーンショット 2026-06-14 010055.png,draft,
東京 芝 2400m,先行,super_recommended,ウマ好み,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,スリップストリーム,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,遊びはおしまいっ！,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,決死の覚悟,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,気炎万丈,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,至高のダウンヒラー,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,アンストッパブル,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,ウママニア,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,いいとこ入った！,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,お先に失礼っ！,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,ありったけ,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,闘争心,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,下り坂巧者,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,recommended,攻めの姿勢,スクリーンショット 2026-06-14 010059.png,draft,
東京 芝 2400m,先行,super_recommended,猛追,スクリーンショット 2026-06-14 010103.png,draft,
東京 芝 2400m,先行,super_recommended,優位形成,スクリーンショット 2026-06-14 010103.png,draft,
東京 芝 2400m,先行,super_recommended,神速,スクリーンショット 2026-06-14 010103.png,draft,
東京 芝 2400m,先行,super_recommended,ルミネセンス,スクリーンショット 2026-06-14 010103.png,draft,
東京 芝 2400m,先行,super_recommended,曇燕竜変,スクリーンショット 2026-06-14 010103.png,draft,
