race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,逃げ,super_recommended,もう一踏ん張り,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,星の煌き,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,auto_fix:星の輝き->星の煌き
東京 芝 2400m,逃げ,recommended,府中の申し子,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,auto_fix:府中◎の申し子->府中の申し子
東京 芝 2400m,逃げ,recommended,道悪の鬼,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,弧線のプロフェッサー,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,コーナー巧者○,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,auto_fix:コーナー巧者◎->コーナー巧者○
東京 芝 2400m,逃げ,recommended,ハヤテ一文字,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,直線巧者,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,ポジションセンス,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,全身全霊,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,末脚,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,脱出術,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,逃げコーナー◎,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,地固め,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,尻尾上がり,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,誰より前へ!,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,王道一途,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,勝負はここから!,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,飛竜乗雲,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,recommended,逃げコーナー○,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,recommended,尻尾の滝登り,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,recommended,一番乗り,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,recommended,正面突破,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,recommended,追い風に乗って,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,逃げるが勝ち!,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,勝負を懸けて,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,前人未到,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,recommended,戦略家,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,recommended,弾みをつけて,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,auto_fix:弾みを付けて->弾みをつけて
東京 芝 2400m,逃げ,recommended,レースの真髄・体,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,recommended,アメリカンドリーム,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,遥か先へ,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,recommended,気炎万丈,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,巨歩,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,阿吽の呼吸,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,レースの真髄・速,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,情熱と挑戦の先の栄光,664fe1e7-4fd2-43b9-b168-349897278284.jpg,draft,
東京 芝 2400m,逃げ,recommended,急ぎ足,93a40b70-cc0c-4a75-a3e8-5d799f782e68.jpg,draft,
