race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,逃げ,super_recommended,もう一踏ん張り,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,星の煌き,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,府中の申し子,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,道悪の鬼,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,弧線のプロフェッサー,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,コーナー巧者○,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,ハヤテ一文字,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,直線巧者,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,ポジションセンス,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,全身全霊,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,末脚,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,recommended,脱出術,2aa3a516-28f7-4c19-80fe-5e3d8f099845.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,逃げコーナー◎,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,地固め,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,尻尾上がり,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,誰より前へ！,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,王道一途,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,勝負はここから！,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
東京 芝 2400m,逃げ,super_recommended,飛竜乗雲,432d8004-f3c9-45ef-bc77-955a8c941f11.jpg,draft,
