race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,差し,super_recommended,左回り◎,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,春ウマ娘◎,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,乗り換え上手,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,差し切り体勢,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,中距離直線◎,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,中距離コーナー◎,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,差し直線◎,スクリーンショット 2026-06-14 010313.png,draft,
東京 芝 2400m,差し,super_recommended,差しコーナー◎,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,尻尾上がり,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,起死回生,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,王手,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,精神力,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,頂を目指して,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,super_recommended,星の煌めき,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,差しコーナー〇,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,尻尾の滝登り,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,ワンチャンス,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,会心の一歩,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,天賦の才,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,もう一踏ん張り,スクリーンショット 2026-06-14 010327.png,draft,
東京 芝 2400m,差し,recommended,府中の申し子,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,道悪の鬼,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,孤線のプロフェッサー,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,コーナー巧者〇,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,ハヤテ文字,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,直線巧者,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,ノンストップガール,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,垂れウマ回避,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,全身全霊,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,末脚,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,迅速果断,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,recommended,位置取り押し上げ,スクリーンショット 2026-06-14 010332.png,draft,
東京 芝 2400m,差し,super_recommended,百万バリキ,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,ウマ好み,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,スリップストリーム,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,遊びはおしまいっ！,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,決死の覚悟,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,気炎万丈,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,高揚感,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,十万バリキ,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,ウマニア,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,いいとこ入った！,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,お先に失礼っ！,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,ありったけ,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,闘争心,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,recommended,前のめり,スクリーンショット 2026-06-14 010337.png,draft,
東京 芝 2400m,差し,super_recommended,地固め,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,super_recommended,垂れ馬,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,super_recommended,食いしん坊,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,super_recommended,型破り,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,super_recommended,しとやかな足取り,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,大胆不敵,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,勇往邁進,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,至高のダウンヒラー,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,トップギア,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,猛追,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,天衣無縫,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,優位形成,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,恐れぬ心,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,フルスロットル,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,下り坂巧者,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,recommended,キレる脚,スクリーンショット 2026-06-14 010342.png,draft,
東京 芝 2400m,差し,super_recommended,神速,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,ルミネセンス,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,インスピレーション,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,突撃魂,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,千里の道,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,自信家,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,込み上げる熱,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,快速,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,イグニッション,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,溢れる情熱,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,進出開始,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,雲蒸竜変,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,昂る鼓動,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,recommended,ネバーギブアップ,スクリーンショット 2026-06-14 010347.png,draft,
東京 芝 2400m,差し,super_recommended,機先の勝負,スクリーンショット 2026-06-14 010352.png,draft,
東京 芝 2400m,差し,super_recommended,怜悧清澄,スクリーンショット 2026-06-14 010352.png,draft,
東京 芝 2400m,差し,super_recommended,むきだしの情熱,スクリーンショット 2026-06-14 010352.png,draft,
東京 芝 2400m,差し,super_recommended,切り替え上手,スクリーンショット 2026-06-14 010352.png,draft,
