race,strategy,tier,skill,source_file,status,memo
東京 芝 2400m,追込,super_recommended,左回り◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,左回り,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,春ウマ娘◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,春ウマ娘,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離直線◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離直線,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離コーナー◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,中距離コーナー,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込直線◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込直線,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込コーナー◎,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,追込コーナー,スクリーンショット 2026-06-14 010629.png,draft,
東京 芝 2400m,追込,super_recommended,尻尾の滝登り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,ワンチャンス,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,渾身の足取り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,super_recommended,もう一踏ん張り,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,起死回生,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,君臨,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,星の囁き,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,垣間見た光,スクリーンショット 2026-06-14 010636.png,draft,
東京 芝 2400m,追込,recommended,府中っ子の申し子,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,道悪の鬼,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,弧線のプロフェッサー,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,コーナー巧者〇,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,ハヤテ文字,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,直線巧者,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,ノンストップガール,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,垂れウマ回避,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,全身全霊,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,末脚,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,疾風怒濤,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,recommended,仕掛け抜群,スクリーンショット 2026-06-14 010641.png,draft,
東京 芝 2400m,追込,super_recommended,ウマ好み,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,スリップストリーム,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,遊びはおしまいっ！,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,決死の覚悟,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,強攻策,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,前のめり,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,下り坂巧者,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,ウママニア,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,いいとこ入った！,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,お先に失礼っ！,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,ありったけ,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,高揚感,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,至高のダウンヒラー,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,recommended,ブレイクスルー,スクリーンショット 2026-06-14 010645.png,draft,
東京 芝 2400m,追込,super_recommended,地固め,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,打開策,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,型破り,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,しとやかな足取り,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,快速,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,イグニッション,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,自信家,スクリーンショット 2026-06-14 010650.png,draft,
東京 芝 2400m,追込,super_recommended,機先の勝負,スクリーンショット 2026-06-14 010650.png,draft,
